Time,x,y,z
799,4020665,1662568,-1853136
798,4018752,1661576,-1851697
797,4016840,1660584,-1850258
796,4014927,1659592,-1848819
795,4013015,1658600,-1847381
794,4011102,1657608,-1845942
793,4009190,1656617,-1844503
792,4007277,1655625,-1843064
791,4005365,1654633,-1841625
790,4003452,1653641,-1840186
789,4001540,1652649,-1838747
788,3999627,1651657,-1837309
787,3997715,1650666,-1835870
786,3995802,1649674,-1834431
785,3993890,1648682,-1832992
784,3991977,1647690,-1831553
783,3990065,1646698,-1830114
782,3988152,1645706,-1828675
781,3986239,1644715,-1827237
780,3984327,1643723,-1825798
779,3982414,1642731,-1824359
778,3980502,1641739,-1822920
777,3978589,1640747,-1821481
776,3976677,1639755,-1820042
775,3974764,1638764,-1818603
774,3972852,1637772,-1817165
773,3970939,1636780,-1815726
772,3969027,1635788,-1814287
771,3967114,1634796,-1812848
770,3965202,1633804,-1811409
769,3963289,1632813,-1809970
768,3961377,1631821,-1808531
767,3959464,1630829,-1807093
766,3957552,1629837,-1805654
765,3955639,1628845,-1804215
764,3953727,1627853,-1802776
763,3951814,1626862,-1801337
762,3949901,1625870,-1799898
761,3947989,1624878,-1798459
760,3946076,1623886,-1797021
759,3944164,1622894,-1795582
758,3942251,1621902,-1794143
757,3940339,1620911,-1792704
756,3938426,1619919,-1791265
755,3936514,1618927,-1789826
754,3934601,1617935,-1788387
753,3932689,1616943,-1786949
752,3930776,1615951,-1785510
751,3928864,1614960,-1784071
750,3926951,1613968,-1782632
749,3925039,1612976,-1781193
748,3923126,1611984,-1779754
747,3921214,1610992,-1778315
746,3919301,1610000,-1776876
745,3917389,1609009,-1775438
744,3915476,1608017,-1773999
743,3913564,1607025,-1772560
742,3911651,1606033,-1771121
741,3909738,1605041,-1769682
740,3907826,1604049,-1768243
739,3905913,1603058,-1766804
738,3904001,1602066,-1765366
737,3902088,1601074,-1763927
736,3900176,1600082,-1762488
735,3898263,1599090,-1761049
734,3896351,1598098,-1759610
733,3894438,1597107,-1758171
732,3892526,1596115,-1756732
731,3890613,1595123,-1755294
730,3888701,1594131,-1753855
729,3886788,1593139,-1752416
728,3884876,1592147,-1750977
727,3882963,1591156,-1749538
726,3881051,1590164,-1748099
725,3879138,1589172,-1746660
724,3877226,1588180,-1745222
723,3875313,1587188,-1743783
722,3873400,1586196,-1742344
721,3871488,1585205,-1740905
720,3869575,1584213,-1739466
719,3867663,1583221,-1738027
718,3865750,1582229,-1736588
717,3863838,1581237,-1735150
716,3861925,1580245,-1733711
715,3860013,1579254,-1732272
714,3858100,1578262,-1730833
713,3856188,1577270,-1729394
712,3854275,1576278,-1727955
711,3852363,1575286,-1726516
710,3850450,1574294,-1725078
709,3848538,1573303,-1723639
708,3846625,1572311,-1722200
707,3844713,1571319,-1720761
706,3842800,1570327,-1719322
705,3840888,1569335,-1717883
704,3838975,1568343,-1716444
703,3837062,1567352,-1715006
702,3835150,1566360,-1713567
701,3833237,1565368,-1712128
700,3831325,1564376,-1710689
699,3829412,1563384,-1709250
698,3827500,1562392,-1707811
697,3825587,1561401,-1706372
696,3823675,1560409,-1704934
695,3821762,1559417,-1703495
694,3819850,1558425,-1702056
693,3817937,1557433,-1700617
692,3816025,1556441,-1699178
691,3814112,1555450,-1697739
690,3812200,1554458,-1696300
689,3810287,1553466,-1694862
688,3808375,1552474,-1693423
687,3806462,1551482,-1691984
686,3804550,1550490,-1690545
685,3802637,1549499,-1689106
684,3800725,1548507,-1687667
683,3798812,1547515,-1686228
682,3796899,1546523,-1684790
681,3794987,1545531,-1683351
680,3793074,1544540,-1681912
679,3791162,1543548,-1680473
678,3789249,1542556,-1679034
677,3787337,1541564,-1677595
676,3785424,1540572,-1676156
675,3783512,1539580,-1674718
674,3781599,1538589,-1673279
673,3779687,1537597,-1671840
672,3777774,1536605,-1670401
671,3775862,1535613,-1668962
670,3773949,1534621,-1667523
669,3772037,1533629,-1666084
668,3770124,1532638,-1664645
667,3768212,1531646,-1663207
666,3766299,1530654,-1661768
665,3764387,1529662,-1660329
664,3762474,1528670,-1658890
663,3760561,1527678,-1657451
662,3758649,1526687,-1656012
661,3756736,1525695,-1654573
660,3754824,1524703,-1653135
659,3752911,1523711,-1651696
658,3750999,1522719,-1650257
657,3749086,1521727,-1648818
656,3747174,1520736,-1647379
655,3745261,1519744,-1645940
654,3743349,1518752,-1644501
653,3741436,1517760,-1643063
652,3739524,1516768,-1641624
651,3737611,1515776,-1640185
650,3735699,1514785,-1638746
649,3733786,1513793,-1637307
648,3731874,1512801,-1635868
647,3729961,1511809,-1634429
646,3728049,1510817,-1632991
645,3726136,1509825,-1631552
644,3724223,1508834,-1630113
643,3722311,1507842,-1628674
642,3720398,1506850,-1627235
641,3718486,1505858,-1625796
640,3716573,1504866,-1624357
639,3714661,1503874,-1622919
638,3712748,1502883,-1621480
637,3710836,1501891,-1620041
636,3708923,1500899,-1618602
635,3707011,1499907,-1617163
634,3705098,1498915,-1615724
633,3703186,1497923,-1614285
632,3701273,1496932,-1612847
631,3699361,1495940,-1611408
630,3697448,1494948,-1609969
629,3695536,1493956,-1608530
628,3693623,1492964,-1607091
627,3691711,1491972,-1605652
626,3689798,1490981,-1604213
625,3687886,1489989,-1602775
624,3685973,1488997,-1601336
623,3684060,1488005,-1599897
622,3682148,1487013,-1598458
621,3680235,1486021,-1597019
620,3678323,1485030,-1595580
619,3676410,1484038,-1594141
618,3674498,1483046,-1592703
617,3672585,1482054,-1591264
616,3670673,1481062,-1589825
615,3668760,1480070,-1588386
614,3666848,1479079,-1586947
613,3664935,1478087,-1585508
612,3663023,1477095,-1584069
611,3661110,1476103,-1582631
610,3659198,1475111,-1581192
609,3657285,1474119,-1579753
608,3655373,1473128,-1578314
607,3653460,1472136,-1576875
606,3651548,1471144,-1575436
605,3649635,1470152,-1573997
604,3647722,1469160,-1572559
603,3645810,1468168,-1571120
602,3643897,1467177,-1569681
601,3641985,1466185,-1568242
600,3640072,1465193,-1566803
599,3638160,1464201,-1565364
598,3636247,1463209,-1563925
597,3634335,1462217,-1562486
596,3632422,1461226,-1561048
595,3630510,1460234,-1559609
594,3628597,1459242,-1558170
593,3626685,1458250,-1556731
592,3624772,1457258,-1555292
591,3622860,1456266,-1553853
590,3620947,1455275,-1552414
589,3619035,1454283,-1550976
588,3617122,1453291,-1549537
587,3615210,1452299,-1548098
586,3613297,1451307,-1546659
585,3611384,1450315,-1545220
584,3609472,1449324,-1543781
583,3607559,1448332,-1542342
582,3605647,1447340,-1540904
581,3603734,1446348,-1539465
580,3601822,1445356,-1538026
579,3599909,1444364,-1536587
578,3597997,1443373,-1535148
577,3596084,1442381,-1533709
576,3594172,1441389,-1532270
575,3592259,1440397,-1530832
574,3590347,1439405,-1529393
573,3588434,1438413,-1527954
572,3586522,1437422,-1526515
571,3584609,1436430,-1525076
570,3582697,1435438,-1523637
569,3580784,1434446,-1522198
568,3578872,1433454,-1520760
567,3576959,1432462,-1519321
566,3575047,1431471,-1517882
565,3573134,1430479,-1516443
564,3571221,1429487,-1515004
563,3569309,1428495,-1513565
562,3567396,1427503,-1512126
561,3565484,1426511,-1510688
560,3563571,1425520,-1509249
559,3561659,1424528,-1507810
558,3559746,1423536,-1506371
557,3557834,1422544,-1504932
556,3555921,1421552,-1503493
555,3554009,1420560,-1502054
554,3552096,1419569,-1500616
553,3550184,1418577,-1499177
552,3548271,1417585,-1497738
551,3546359,1416593,-1496299
550,3544446,1415601,-1494860
549,3542534,1414609,-1493421
548,3540621,1413618,-1491982
547,3538709,1412626,-1490544
546,3536796,1411634,-1489105
545,3534883,1410642,-1487666
544,3532971,1409650,-1486227
543,3531058,1408658,-1484788
542,3529146,1407667,-1483349
541,3527233,1406675,-1481910
540,3525321,1405683,-1480472
539,3523408,1404691,-1479033
538,3521496,1403699,-1477594
537,3519583,1402707,-1476155
536,3517671,1401716,-1474716
535,3515758,1400724,-1473277
534,3513846,1399732,-1471838
533,3511933,1398740,-1470400
532,3510021,1397748,-1468961
531,3508108,1396756,-1467522
530,3506196,1395765,-1466083
529,3504283,1394773,-1464644
528,3502371,1393781,-1463205
527,3500458,1392789,-1461766
526,3498545,1391797,-1460327
525,3496633,1390805,-1458889
524,3494720,1389814,-1457450
523,3492808,1388822,-1456011
522,3490895,1387830,-1454572
521,3488983,1386838,-1453133
520,3487070,1385846,-1451694
519,3485158,1384855,-1450255
518,3483245,1383863,-1448817
517,3481333,1382871,-1447378
516,3479420,1381879,-1445939
515,3477508,1380887,-1444500
514,3475595,1379895,-1443061
513,3473683,1378904,-1441622
512,3471770,1377912,-1440183
511,3469858,1376920,-1438745
510,3467945,1375928,-1437306
509,3466033,1374936,-1435867
508,3464120,1373944,-1434428
507,3462208,1372953,-1432989
506,3460295,1371961,-1431550
505,3458382,1370969,-1430111
504,3456470,1369977,-1428673
503,3454557,1368985,-1427234
502,3452645,1367993,-1425795
501,3450732,1367002,-1424356
500,3448820,1366010,-1422917
499,3446907,1365018,-1421478
498,3444995,1364026,-1420039
497,3443082,1363034,-1418601
496,3441170,1362042,-1417162
495,3439257,1361051,-1415723
494,3437345,1360059,-1414284
493,3435432,1359067,-1412845
492,3433520,1358075,-1411406
491,3431607,1357083,-1409967
490,3429695,1356091,-1408529
489,3427782,1355100,-1407090
488,3425870,1354108,-1405651
487,3423957,1353116,-1404212
486,3422044,1352124,-1402773
485,3420132,1351132,-1401334
484,3418219,1350140,-1399895
483,3416307,1349149,-1398457
482,3414394,1348157,-1397018
481,3412482,1347165,-1395579
480,3410569,1346173,-1394140
479,3408657,1345181,-1392701
478,3406744,1344189,-1391262
477,3404832,1343198,-1389823
476,3402919,1342206,-1388385
475,3401007,1341214,-1386946
474,3399094,1340222,-1385507
473,3397182,1339230,-1384068
472,3395269,1338238,-1382629
471,3393357,1337247,-1381190
470,3391444,1336255,-1379751
469,3389532,1335263,-1378313
468,3387619,1334271,-1376874
467,3385707,1333279,-1375435
466,3383794,1332287,-1373996
465,3381881,1331296,-1372557
464,3379969,1330304,-1371118
463,3378056,1329312,-1369679
462,3376144,1328320,-1368241
461,3374231,1327328,-1366802
460,3372319,1326336,-1365363
459,3370406,1325345,-1363924
458,3368494,1324353,-1362485
457,3366581,1323361,-1361046
456,3364669,1322369,-1359607
455,3362756,1321377,-1358169
454,3360844,1320385,-1356730
453,3358931,1319394,-1355291
452,3357019,1318402,-1353852
451,3355106,1317410,-1352413
450,3353194,1316418,-1350974
449,3351281,1315426,-1349535
448,3349369,1314434,-1348096
447,3347456,1313443,-1346658
446,3345543,1312451,-1345219
445,3343631,1311459,-1343780
444,3341718,1310467,-1342341
443,3339806,1309475,-1340902
442,3337893,1308483,-1339463
441,3335981,1307492,-1338024
440,3334068,1306500,-1336586
439,3332156,1305508,-1335147
438,3330243,1304516,-1333708
437,3328331,1303524,-1332269
436,3326418,1302532,-1330830
435,3324506,1301541,-1329391
434,3322593,1300549,-1327952
433,3320681,1299557,-1326514
432,3318768,1298565,-1325075
431,3316856,1297573,-1323636
430,3314943,1296581,-1322197
429,3313031,1295590,-1320758
428,3311118,1294598,-1319319
427,3309205,1293606,-1317880
426,3307293,1292614,-1316442
425,3305380,1291622,-1315003
424,3303468,1290630,-1313564
423,3301555,1289639,-1312125
422,3299643,1288647,-1310686
421,3297730,1287655,-1309247
420,3295818,1286663,-1307808
419,3293905,1285671,-1306370
418,3291993,1284679,-1304931
417,3290080,1283688,-1303492
416,3288168,1282696,-1302053
415,3286255,1281704,-1300614
414,3284343,1280712,-1299175
413,3282430,1279720,-1297736
412,3280518,1278728,-1296298
411,3278605,1277737,-1294859
410,3276693,1276745,-1293420
409,3274780,1275753,-1291981
409,3274780,1275753,-1291981
408,3275630,1273292,-1285185
407,3276481,1270831,-1278389
406,3277331,1268371,-1271593
405,3278181,1265910,-1264797
404,3279031,1263449,-1258001
403,3279882,1260988,-1251205
402,3280732,1258527,-1244409
401,3281582,1256067,-1237612
400,3282433,1253606,-1230816
399,3283283,1251145,-1224020
398,3284133,1248684,-1217224
397,3284983,1246223,-1210428
396,3285834,1243763,-1203632
395,3286684,1241302,-1196836
394,3287534,1238841,-1190040
393,3288384,1236380,-1183244
392,3289235,1233919,-1176448
391,3290085,1231459,-1169652
390,3290935,1228998,-1162856
389,3291786,1226537,-1156060
388,3292636,1224076,-1149264
387,3293486,1221615,-1142468
386,3294336,1219155,-1135672
385,3295187,1216694,-1128875
384,3296037,1214233,-1122079
383,3296887,1211772,-1115283
382,3297738,1209311,-1108487
381,3298588,1206851,-1101691
380,3299438,1204390,-1094895
379,3300288,1201929,-1088099
378,3301139,1199468,-1081303
377,3301989,1197007,-1074507
376,3302839,1194547,-1067711
375,3303690,1192086,-1060915
374,3304540,1189625,-1054119
373,3305390,1187164,-1047323
372,3306240,1184703,-1040527
371,3307091,1182243,-1033731
370,3307941,1179782,-1026935
369,3308791,1177321,-1020138
368,3309641,1174860,-1013342
367,3310492,1172399,-1006546
366,3311342,1169939,-999750
365,3312192,1167478,-992954
364,3313043,1165017,-986158
363,3313893,1162556,-979362
362,3314743,1160095,-972566
361,3315593,1157635,-965770
360,3316444,1155174,-958974
359,3317294,1152713,-952178
358,3318144,1150252,-945382
357,3318995,1147791,-938586
356,3319845,1145331,-931790
355,3320695,1142870,-924994
354,3321545,1140409,-918198
354,3321545,1140409,-918198
353,3321313,1139950,-917213
352,3321080,1139491,-916228
351,3320848,1139032,-915243
350,3320615,1138573,-914258
349,3320383,1138113,-913273
348,3320150,1137654,-912288
347,3319918,1137195,-911303
346,3319685,1136736,-910318
345,3319453,1136277,-909333
344,3319220,1135818,-908348
343,3318988,1135359,-907363
342,3318755,1134900,-906378
341,3318523,1134440,-905394
340,3318290,1133981,-904409
339,3318058,1133522,-903424
338,3317825,1133063,-902439
337,3317593,1132604,-901454
336,3317360,1132145,-900469
335,3317128,1131686,-899484
334,3316895,1131227,-898499
333,3316663,1130768,-897514
332,3316430,1130308,-896529
331,3316198,1129849,-895544
330,3315965,1129390,-894559
329,3315733,1128931,-893574
328,3315500,1128472,-892590
327,3315268,1128013,-891605
326,3315035,1127554,-890620
325,3314803,1127095,-889635
324,3314570,1126635,-888650
323,3314338,1126176,-887665
322,3314105,1125717,-886680
321,3313873,1125258,-885695
320,3313640,1124799,-884710
319,3313408,1124340,-883725
318,3313175,1123881,-882740
317,3312943,1123422,-881755
316,3312710,1122962,-880771
315,3312478,1122503,-879786
314,3312245,1122044,-878801
313,3312013,1121585,-877816
312,3311780,1121126,-876831
311,3311548,1120667,-875846
310,3311315,1120208,-874861
309,3311082,1119749,-873876
308,3310850,1119289,-872891
307,3310617,1118830,-871906
306,3310385,1118371,-870921
305,3310152,1117912,-869936
304,3309920,1117453,-868951
303,3309687,1116994,-867967
302,3309455,1116535,-866982
301,3309222,1116076,-865997
300,3308990,1115616,-865012
299,3308757,1115157,-864027
298,3308525,1114698,-863042
297,3308292,1114239,-862057
296,3308060,1113780,-861072
295,3307827,1113321,-860087
294,3307595,1112862,-859102
293,3307362,1112403,-858117
292,3307130,1111943,-857132
291,3306897,1111484,-856147
290,3306665,1111025,-855163
289,3306432,1110566,-854178
288,3306200,1110107,-853193
287,3305967,1109648,-852208
286,3305735,1109189,-851223
285,3305502,1108730,-850238
284,3305270,1108270,-849253
283,3305037,1107811,-848268
282,3304805,1107352,-847283
281,3304572,1106893,-846298
280,3304340,1106434,-845313
279,3304107,1105975,-844328
278,3303875,1105516,-843343
277,3303642,1105057,-842359
276,3303410,1104597,-841374
275,3303177,1104138,-840389
274,3302945,1103679,-839404
273,3302712,1103220,-838419
272,3302480,1102761,-837434
271,3302247,1102302,-836449
270,3302015,1101843,-835464
269,3301782,1101384,-834479
269,3301782,1101384,-834479
268,3301773,1101349,-834401
267,3301763,1101315,-834323
266,3301754,1101280,-834246
265,3301745,1101246,-834168
264,3301735,1101211,-834090
263,3301726,1101177,-834012
262,3301717,1101142,-833934
261,3301707,1101108,-833856
260,3301698,1101073,-833778
259,3301689,1101039,-833700
258,3301679,1101004,-833622
257,3301670,1100970,-833545
256,3301661,1100935,-833467
255,3301651,1100901,-833389
254,3301642,1100866,-833311
253,3301633,1100832,-833233
252,3301623,1100797,-833155
251,3301614,1100763,-833077
250,3301605,1100728,-832999
249,3301595,1100694,-832921
248,3301586,1100659,-832844
247,3301577,1100625,-832766
246,3301567,1100590,-832688
245,3301558,1100556,-832610
244,3301549,1100521,-832532
243,3301539,1100487,-832454
242,3301530,1100452,-832376
241,3301521,1100418,-832298
240,3301511,1100383,-832220
239,3301502,1100349,-832142
238,3301493,1100314,-832065
237,3301483,1100280,-831987
236,3301474,1100245,-831909
235,3301465,1100211,-831831
234,3301455,1100177,-831753
233,3301446,1100142,-831675
232,3301437,1100108,-831597
231,3301427,1100073,-831519
230,3301418,1100039,-831441
229,3301409,1100004,-831364
228,3301399,1099970,-831286
227,3301390,1099935,-831208
226,3301381,1099901,-831130
225,3301371,1099866,-831052
224,3301362,1099832,-830974
223,3301353,1099797,-830896
222,3301343,1099763,-830818
221,3301334,1099728,-830740
220,3301325,1099694,-830663
219,3301315,1099659,-830585
218,3301306,1099625,-830507
217,3301297,1099590,-830429
216,3301287,1099556,-830351
215,3301278,1099521,-830273
214,3301269,1099487,-830195
213,3301259,1099452,-830117
212,3301250,1099418,-830039
211,3301241,1099383,-829962
210,3301231,1099349,-829884
209,3301222,1099314,-829806
208,3301213,1099280,-829728
207,3301203,1099245,-829650
206,3301194,1099211,-829572
205,3301185,1099176,-829494
204,3301175,1099142,-829416
203,3301166,1099107,-829338
202,3301157,1099073,-829261
201,3301147,1099038,-829183
200,3301138,1099004,-829105
199,3301129,1098969,-829027
198,3301119,1098935,-828949
197,3301110,1098900,-828871
196,3301101,1098866,-828793
195,3301091,1098831,-828715
194,3301082,1098797,-828637
193,3301073,1098762,-828560
192,3301063,1098728,-828482
191,3301054,1098693,-828404
190,3301045,1098659,-828326
189,3301035,1098625,-828248
188,3301026,1098590,-828170
187,3301017,1098556,-828092
186,3301007,1098521,-828014
185,3300998,1098487,-827936
184,3300989,1098452,-827859
183,3300979,1098418,-827781
183,3300979,1098418,-827781
182,3300974,1098243,-827365
181,3300969,1098069,-826949
180,3300963,1097895,-826533
179,3300958,1097721,-826117
178,3300952,1097546,-825701
177,3300947,1097372,-825285
176,3300942,1097198,-824869
175,3300936,1097024,-824453
174,3300931,1096850,-824038
173,3300925,1096675,-823622
172,3300920,1096501,-823206
171,3300914,1096327,-822790
170,3300909,1096153,-822374
169,3300904,1095978,-821958
168,3300898,1095804,-821542
167,3300893,1095630,-821126
166,3300887,1095456,-820710
166,3300887,1095456,-820710
165,3300859,1095315,-820389
164,3300830,1095175,-820067
163,3300802,1095034,-819746
162,3300773,1094894,-819424
161,3300745,1094754,-819103
160,3300716,1094613,-818781
159,3300688,1094473,-818459
158,3300659,1094332,-818138
157,3300631,1094192,-817816
156,3300602,1094051,-817495
155,3300574,1093911,-817173
154,3300545,1093771,-816852
153,3300517,1093630,-816530
152,3300488,1093490,-816209
151,3300460,1093349,-815887
150,3300431,1093209,-815565
149,3300403,1093068,-815244
148,3300374,1092928,-814922
147,3300346,1092788,-814601
146,3300317,1092647,-814279
145,3300288,1092507,-813958
145,3300288,1092507,-813958
144,3300201,1092477,-813933
143,3300113,1092446,-813909
142,3300026,1092416,-813885
141,3299938,1092386,-813860
140,3299850,1092356,-813836
139,3299763,1092326,-813812
138,3299675,1092296,-813787
137,3299587,1092266,-813763
136,3299500,1092235,-813739
135,3299412,1092205,-813714
134,3299324,1092175,-813690
133,3299237,1092145,-813666
132,3299149,1092115,-813641
131,3299061,1092085,-813617
130,3298974,1092055,-813593
129,3298886,1092024,-813569
128,3298798,1091994,-813544
127,3298711,1091964,-813520
126,3298623,1091934,-813496
125,3298535,1091904,-813471
124,3298448,1091874,-813447
123,3298360,1091844,-813423
122,3298272,1091813,-813398
121,3298185,1091783,-813374
120,3298097,1091753,-813350
119,3298010,1091723,-813325
118,3297922,1091693,-813301
117,3297834,1091663,-813277
116,3297747,1091633,-813252
115,3297659,1091602,-813228
114,3297571,1091572,-813204
113,3297484,1091542,-813179
112,3297396,1091512,-813155
111,3297308,1091482,-813131
110,3297221,1091452,-813106
109,3297133,1091422,-813082
108,3297045,1091391,-813058
107,3296958,1091361,-813034
106,3296870,1091331,-813009
105,3296782,1091301,-812985
104,3296695,1091271,-812961
103,3296607,1091241,-812936
102,3296519,1091211,-812912
101,3296432,1091180,-812888
100,3296344,1091150,-812863
99,3296256,1091120,-812839
98,3296169,1091090,-812815
97,3296081,1091060,-812790
96,3295993,1091030,-812766
95,3295906,1091000,-812742
94,3295818,1090969,-812717
93,3295731,1090939,-812693
92,3295643,1090909,-812669
91,3295555,1090879,-812644
90,3295468,1090849,-812620
89,3295380,1090819,-812596
88,3295292,1090789,-812571
87,3295205,1090758,-812547
86,3295117,1090728,-812523
85,3295029,1090698,-812499
85,3295029,1090698,-812499
84,3294959,1090652,-812427
83,3294889,1090607,-812356
82,3294819,1090561,-812284
81,3294749,1090515,-812213
80,3294679,1090469,-812141
79,3294609,1090424,-812070
78,3294539,1090378,-811998
78,3294539,1090378,-811998
77,3294487,1090310,-811865
76,3294434,1090243,-811731
75,3294381,1090175,-811598
74,3294328,1090107,-811465
73,3294275,1090040,-811332
72,3294223,1089972,-811198
71,3294170,1089904,-811065
70,3294117,1089837,-810932
69,3294064,1089769,-810798
68,3294011,1089702,-810665
67,3293958,1089634,-810532
66,3293906,1089566,-810398
65,3293853,1089499,-810265
64,3293800,1089431,-810132
63,3293747,1089364,-809999
62,3293694,1089296,-809865
61,3293642,1089228,-809732
60,3293589,1089161,-809599
60,3293589,1089161,-809599
59,3293539,1089144,-809586
58,3293489,1089127,-809574
57,3293439,1089111,-809562
56,3293388,1089094,-809549
55,3293338,1089078,-809537
54,3293288,1089061,-809525
53,3293238,1089045,-809512
52,3293188,1089028,-809500
51,3293138,1089011,-809487
50,3293088,1088995,-809475
49,3293038,1088978,-809463
48,3292988,1088962,-809450
47,3292938,1088945,-809438
46,3292888,1088928,-809426
45,3292838,1088912,-809413
44,3292787,1088895,-809401
43,3292737,1088879,-809389
42,3292687,1088862,-809376
41,3292637,1088846,-809364
40,3292587,1088829,-809351
39,3292537,1088812,-809339
38,3292487,1088796,-809327
37,3292437,1088779,-809314
36,3292387,1088763,-809302
35,3292337,1088746,-809290
34,3292287,1088729,-809277
33,3292237,1088713,-809265
32,3292186,1088696,-809253
31,3292136,1088680,-809240
30,3292086,1088663,-809228
29,3292036,1088647,-809215
28,3291986,1088630,-809203
27,3291936,1088613,-809191
26,3291886,1088597,-809178
25,3291836,1088580,-809166
24,3291786,1088564,-809154
23,3291736,1088547,-809141
22,3291686,1088531,-809129
21,3291636,1088514,-809117
20,3291585,1088497,-809104
19,3291535,1088481,-809092
18,3291485,1088464,-809080
