Time,x,y,z
928,2903308,1762081,-3763111
927,2940369,1761902,-3712405
926,2977430,1761722,-3661698
925,3014491,1761543,-3610992
924,3051552,1761363,-3560286
923,3088613,1761184,-3509579
922,3125674,1761004,-3458873
921,3162735,1760825,-3408167
920,3199796,1760645,-3357460
919,3236857,1760466,-3306754
918,3273918,1760286,-3256048
917,3310979,1760107,-3205341
916,3348040,1759927,-3154635
915,3385101,1759748,-3103928
914,3422162,1759569,-3053222
913,3459223,1759389,-3002516
912,3496284,1759210,-2951809
911,3533345,1759030,-2901103
910,3570406,1758851,-2850397
909,3607467,1758671,-2799690
908,3644528,1758492,-2748984
907,3681589,1758312,-2698278
906,3718650,1758133,-2647571
905,3755711,1757953,-2596865
904,3792771,1757774,-2546159
903,3829832,1757594,-2495452
902,3866893,1757415,-2444746
901,3903954,1757235,-2394040
900,3941015,1757056,-2343333
899,3978076,1756877,-2292627
898,4015137,1756697,-2241921
897,4052198,1756518,-2191214
896,4089259,1756338,-2140508
895,4126320,1756159,-2089801
894,4163381,1755979,-2039095
893,4200442,1755800,-1988389
893,4200442,1755800,-1988389
892,4198530,1754808,-1986950
891,4196617,1753816,-1985511
890,4194705,1752824,-1984072
889,4192792,1751832,-1982633
888,4190880,1750841,-1981194
887,4188967,1749849,-1979756
886,4187055,1748857,-1978317
885,4185142,1747865,-1976878
884,4183230,1746873,-1975439
883,4181317,1745881,-1974000
882,4179405,1744890,-1972561
881,4177492,1743898,-1971122
880,4175579,1742906,-1969684
879,4173667,1741914,-1968245
878,4171754,1740922,-1966806
877,4169842,1739930,-1965367
876,4167929,1738939,-1963928
875,4166017,1737947,-1962489
874,4164104,1736955,-1961050
873,4162192,1735963,-1959612
872,4160279,1734971,-1958173
871,4158367,1733979,-1956734
870,4156454,1732988,-1955295
869,4154542,1731996,-1953856
868,4152629,1731004,-1952417
867,4150717,1730012,-1950978
866,4148804,1729020,-1949540
865,4146892,1728028,-1948101
864,4144979,1727037,-1946662
863,4143067,1726045,-1945223
862,4141154,1725053,-1943784
861,4139241,1724061,-1942345
860,4137329,1723069,-1940906
859,4135416,1722077,-1939468
858,4133504,1721086,-1938029
857,4131591,1720094,-1936590
856,4129679,1719102,-1935151
855,4127766,1718110,-1933712
854,4125854,1717118,-1932273
853,4123941,1716126,-1930834
852,4122029,1715135,-1929396
851,4120116,1714143,-1927957
850,4118204,1713151,-1926518
849,4116291,1712159,-1925079
848,4114379,1711167,-1923640
847,4112466,1710176,-1922201
846,4110554,1709184,-1920762
845,4108641,1708192,-1919324
844,4106729,1707200,-1917885
843,4104816,1706208,-1916446
842,4102904,1705216,-1915007
841,4100991,1704225,-1913568
840,4099078,1703233,-1912129
839,4097166,1702241,-1910690
838,4095253,1701249,-1909252
837,4093341,1700257,-1907813
836,4091428,1699265,-1906374
835,4089516,1698274,-1904935
834,4087603,1697282,-1903496
833,4085691,1696290,-1902057
832,4083778,1695298,-1900618
831,4081866,1694306,-1899180
830,4079953,1693314,-1897741
829,4078041,1692323,-1896302
828,4076128,1691331,-1894863
827,4074216,1690339,-1893424
826,4072303,1689347,-1891985
825,4070391,1688355,-1890546
824,4068478,1687363,-1889108
823,4066566,1686372,-1887669
822,4064653,1685380,-1886230
821,4062740,1684388,-1884791
820,4060828,1683396,-1883352
819,4058915,1682404,-1881913
818,4057003,1681412,-1880474
817,4055090,1680421,-1879035
816,4053178,1679429,-1877597
815,4051265,1678437,-1876158
814,4049353,1677445,-1874719
813,4047440,1676453,-1873280
812,4045528,1675461,-1871841
811,4043615,1674470,-1870402
810,4041703,1673478,-1868963
809,4039790,1672486,-1867525
808,4037878,1671494,-1866086
807,4035965,1670502,-1864647
806,4034053,1669510,-1863208
805,4032140,1668519,-1861769
804,4030228,1667527,-1860330
803,4028315,1666535,-1858891
802,4026403,1665543,-1857453
801,4024490,1664551,-1856014
800,4022577,1663559,-1854575
